Timestamp,BetsAnalyzed,WinRate,CalibrationFactor
2025-10-31 23:25:47,92,0.0,0.0
2025-10-31 23:29:48,92,0.0,0.0
2025-10-31 23:49:31,2025-10-21,64,0.0,23.42,0.5
